354970 SAO JOSE DO RIO PARDO;84
354980 SAO JOSE DO RIO PRETO;442
354990 SAO JOSE DOS CAMPOS;439
354995 SAO LOURENCO DA SERRA;16
355000 SAO LUIS DO PARAITINGA;6
355010 SAO MANUEL;34
355020 SAO MIGUEL ARCANJO;30
355030 SAO PAULO;10817
355040 SAO PEDRO;35
355050 SAO PEDRO DO TURVO;6
355060 SAO ROQUE;70
355070 SAO SEBASTIAO;45
355080 SAO SEBASTIAO DA GRAMA;16
355090 SAO SIMAO;9
355100 SAO VICENTE;305
355110 SARAPUI;14
355120 SARUTAIA;4
355130 SEBASTIANOPOLIS DO SUL;2
355140 SERRA AZUL;9
355150 SERRANA;22
355160 SERRA NEGRA;27
355170 SERTAOZINHO;81
355180 SETE BARRAS;12
355190 SEVERINIA;12
355200 SILVEIRAS;5
355210 SOCORRO;34
355220 SOROCABA;396
355230 SUD MENNUCCI;9
355240 SUMARE;163
355250 SUZANO;193
355255 SUZANAPOLIS;6
355260 TABAPUA;11
355270 TABATINGA;12
355280 TABOAO DA SERRA;127
355290 TACIBA;7
355300 TAGUAI;14
355310 TAIACU;5
355320 TAIUVA;5
355330 TAMBAU;15
355340 TANABI;35
355350 TAPIRAI;10
355360 TAPIRATIBA;14
355365 TAQUARAL;1
355370 TAQUARITINGA;53
355380 TAQUARITUBA;23
355385 TAQUARIVAI;3
355390 TARABAI;13
355395 TARUMA;15
355400 TATUI;126
355410 TAUBATE;258
355420 TEJUPA;5
355430 TEODORO SAMPAIO;13
355440 TERRA ROXA;9
355450 TIETE;27
355460 TIMBURI;1
355465 TORRE DE PEDRA;2
355470 TORRINHA;10
355475 TRABIJU;3
355480 TREMEMBE;45
355490 TRES FRONTEIRAS;4
355495 TUIUTI;10
355500 TUPA;70
355510 TUPI PAULISTA;14
355520 TURIUBA;3
355530 TURMALINA;2
355535 UBARANA;4
355540 UBATUBA;57
355550 UBIRAJARA;2
355560 UCHOA;10
355570 UNIAO PAULISTA;5
355580 URANIA;13
355590 URU;1
355600 URUPES;10
355610 VALENTIM GENTIL;11
355620 VALINHOS;74
355630 VALPARAISO;27
355635 VARGEM;9
355640 VARGEM GRANDE DO SUL;42
355645 VARGEM GRANDE PAULISTA;38
355650 VARZEA PAULISTA;63
355660 VERA CRUZ;19
355670 VINHEDO;80
355680 VIRADOURO;19
355690 VISTA ALEGRE DO ALTO;4
355695 VITORIA BRASIL;6
355700 VOTORANTIM;68
355710 VOTUPORANGA;70
355715 ZACARIAS;2
355720 CHAVANTES;9
355730 ESTIVA GERBI;3
